Number,lat,lon,ele,time,AQI,GSR
93,51.53222967,0.004969829,4.551521333,14:28:20,114,243
94,51.53225547,0.005035473,4.565630201,14:28:26,113,248
95,51.53228417,0.005100395,4.818357777,14:28:32,111,246
96,51.53231397,0.005165092,4.822633944,14:28:37,114,247
97,51.53234156,0.00523149,5.392262337,14:28:43,116,249
98,51.53237358,0.005294038,5.194350051,14:28:47,114,249
99,51.53240161,0.005355198,4.789160731,14:28:52,110,246
100,51.53242778,0.00542031,4.491023167,14:28:56,108,251
101,51.53246184,0.005483591,4.397675957,14:29:01,112,253
102,51.53249463,0.005537213,4.175868139,14:29:07,107,253
103,51.53252972,0.005591355,3.929897808,14:29:12,108,251
104,51.5325652,0.00565345,3.458944729,14:29:17,103,251
105,51.53259927,0.005705928,3.837282806,14:29:21,106,246
106,51.53263901,0.005769173,3.607329186,14:29:26,106,249
107,51.5326741,0.005819231,4.001411205,14:29:31,110,245
108,51.53271843,0.005836232,3.763139795,14:29:43,113,247
109,51.53275947,0.005792167,4.404299561,14:29:47,108,249
110,51.5328028,0.00574618,4.587176615,14:29:50,112,252
111,51.53284502,0.005710001,4.56722576,14:29:54,111,255
112,51.53284536,0.00562494,4.933355205,14:30:06,116,256
113,51.53281728,0.00556116,4.888664804,14:30:09,120,261
114,51.5327905,0.005489413,4.526595546,14:30:13,120,256
115,51.53275481,0.005426888,4.812562685,14:30:19,119,258
116,51.53271589,0.005369538,5.022265635,14:30:24,115,261
117,51.53268029,0.005307212,5.180303145,14:30:29,119,257
118,51.53265021,0.005246415,5.286824241,14:30:33,120,253
119,51.53262424,0.005185704,5.703128864,14:30:37,117,256
120,51.53259354,0.005127832,5.462321752,14:30:42,120,260
121,51.53256141,0.005058249,6.090024283,14:30:47,119,259
122,51.53253021,0.004988742,6.446210373,14:30:53,120,263
123,51.53249601,0.004922471,6.355678427,14:30:58,120,260
124,51.53246024,0.004861376,5.724611863,14:31:03,120,259
125,51.53242142,0.004803428,6.127453304,14:31:08,120,264
126,51.53239063,0.004748061,6.339597205,14:31:13,120,259
127,51.53235501,0.004688705,6.080922311,14:31:18,115,259
128,51.53232353,0.004632388,5.87557571,14:31:23,111,262
129,51.53229545,0.004572013,6.182788178,14:31:28,111,262
130,51.53226582,0.004512635,6.598229325,14:31:33,115,265
131,51.5322315,0.004444315,6.902920126,14:31:38,114,266
132,51.53220503,0.004380891,7.596992736,14:31:43,115,271
133,51.53218327,0.004315956,7.707272034,14:31:48,110,271
